var_	varname	pey_pft	pam_group
1	Abies	bec_ctc	TRSH
2	Abies undifferentiated	bec_ctc	TRSH
3	Acacia	wte2	TRSH
4	Acer	ts	TRSH
5	Acer cf. A. campestre	ts	TRSH
6	Acer-type	ts	TRSH
7	Achillea	sf	HERB
8	Achillea-type	sf	HERB
9	Aconitum	\N	HERB
10	Acorus calamus	\N	HERB
11	Adonis	\N	HERB
12	Adoxa moschatellina	\N	HERB
13	Aellenia-type	sf_df	HERB
14	Aesculus	\N	TRSH
15	Agrimonia	sf	HERB
16	Agrimonia-type	sf	HERB
17	Agropyron-type	g	HERB
18	Ajuga-type	\N	HERB
19	Alchemilla	sf	HERB
20	Alchemilla cf. A. glabra	sf	HERB
21	Alchemilla-type	sf	HERB
22	Aldrovanda vesiculosa	\N	AQUA
23	Alisma	\N	AQUA
24	Alisma gramineum	\N	AQUA
25	Alisma plantago-aquatica	\N	AQUA
26	Alisma plantago-aquatica-type	\N	AQUA
27	Alisma-type	\N	AQUA
28	Allium	\N	HERB
29	Allium oleraceum-type	\N	HERB
30	Allium ursinum-type	\N	HERB
31	Allium-type	\N	HERB
32	Alnus	ts_bs_aa	TRSH
33	Alnus glutinosa	ts_bs_aa	TRSH
34	Alnus undifferentiated	ts_bs_aa	TRSH
35	Alnus viridis	ts_bs_aa	TRSH
36	Ambrosia-type	sf	HERB
37	Ambrosia/Xanthium	sf	HERB
38	Anagallis	\N	HERB
39	Anagallis arvensis-type	\N	HERB
40	Anagallis tenella-type	\N	HERB
41	Anchusa	sf	HERB
42	Anchusa arvensis	sf	HERB
43	Anchusa officinalis	sf	HERB
44	Anchusa-type	sf	HERB
45	Andromeda polifolia	h	DWAR
46	Anemone-type	\N	HERB
47	Angelica-type	sf	HERB
48	Anthemis-type	sf	HERB
49	Anthericum	\N	HERB
50	Anthriscus	sf	HERB
51	Anthyllis	wgs	HERB
52	Anthyllis vulneraria	wgs	HERB
53	Apium	sf	HERB
54	Arbutus	h	TRSH
55	Arctium	sf	HERB
56	Arctium-type	sf	HERB
57	Arctostaphylos alpinus	h	DWAR
58	Arctostaphylos uva-ursi	h	DWAR
59	Arenaria-type	sf	HERB
60	Armeria	sf	HERB
61	Armeria (type A)	sf	HERB
62	Armeria (type B)	sf	HERB
63	Armeria maritima	sf	HERB
64	Armeria maritima-type	sf	HERB
65	Armeria-type	sf	HERB
66	Artemisia	sf_df	HERB
