Var.,AccVar.,VarCode,VarName,HVar.,MHVar. 1,MHVar. 2,MHVar. 3,group
929,929,Equ,Equisetum,,929,929,929,VACR
1418,929,Equae,Equisetaceae,,929,929,929,VACR
433,433,,Anthoceros/Phaeoceros,,433,433,1396,BRYO
1434,433,Aos,Anthoceros,,433,433,1396,BRYO
2091,433,Antales,Anthocerothales,,433,433,1396,BRYO
2509,433,Anthocae,Anthocerotaceae,,433,433,1396,BRYO
3611,433,Ant.T-1,Anthocerotales (type 1),,433,433,1396,BRYO
3612,433,Ant.T-2,Anthocerotales (type 2),,433,433,1396,BRYO
3613,433,Ant.T-3,Anthocerotales (type 3),,433,433,1396,BRYO
2385,2385,Anh.c,Anthoceros crispulus,,2385,433,1396,BRYO
983,4100,Ant.p,Anthoceros punctatus,,4100,433,1396,BRYO
4100,4100,Ant.p-T,Anthoceros punctatus-type,,4100,433,1396,BRYO
1817,4465,Ant.l-T,Anthoceros laevis-type,,4465,433,1396,BRYO
2168,4465,Ant.l,Anthoceros laevis,,4465,433,1396,BRYO
3205,4465,Phe.l,Phaeoceros laevis,,4465,433,1396,BRYO
3832,4465,Phaeo,Phaeoceros,,4465,433,1396,BRYO
4465,4465,Pha.l-T,Phaeoceros laevis-type,,4465,433,1396,BRYO
902,902,Ano.l,Anogramma leptophylla,,902,902,1396,VACR
5061,902,Anog,Anogramma,,902,902,1396,VACR
913,913,Che,Cheilanthes,,913,913,1396,VACR
1814,913,Clt-T,Cheilanthes-type,,913,913,1396,VACR
4369,913,Cst,Cosentinia,,913,913,1396,VACR
919,919,Crp.c,Cryptogramma crispa,,919,919,1396,VACR
3197,919,Cry,Cryptogramma,,919,919,1396,VACR
938,938,Hym,Hymenophyllum,,938,938,1396,VACR
1190,1190,Hym.w,Hymenophyllum wilsonii,,938,938,1396,VACR
2275,2275,Hym.t,Hymenophyllum tunbrigense,,938,938,1396,VACR
2382,2382,Hym.f,Hymenophyllum flabellatum,,938,938,1396,VACR
937,937,Hup.s,Huperzia selago,,937,943,1396,VACR
2393,937,Hup.s.a,Huperzia selago subsp. arctica,,937,943,1396,VACR
2541,937,Hup.a,Huperzia arctica,,937,943,1396,VACR
3095,937,Lyc.s,Lycopodium selago,,937,943,1396,VACR
4639,937,Hup,Huperzia,,937,943,1396,VACR
